REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
LB24XEC,098772,MG,HS,19/05/2025,2990503,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Bolton Motorstore,Springfield,,Bolton,BL2 1HY,,5000000000,Must call 1hour before collection and get a name,,AC01,
LD73VAK,186983,MG,HS,19/05/2025,2990504,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Bolton Motorstore,Springfield,,Bolton,BL2 1HY,,5000000000,Must call 1hour before collection and get a name,,AC01,
LD24WNF,338471,MG,HS,19/05/2025,2990498,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Carlisle Motorstore,Wakefield Road,Kingstown Industrial Estate,Carlisle,CA3 0HE,,1228279130,Must call 1hour before collection and get a name,,AC01,
LG24DWU,316606,MG,HS,19/05/2025,2990499,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Carlisle Motorstore,Wakefield Road,Kingstown Industrial Estate,Carlisle,CA3 0HE,,1228279130,Must call 1hour before collection and get a name,,AC01,
LC73UYX,209821,MG,HS,19/05/2025,2990501,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Carlisle Motorstore,Wakefield Road,Kingstown Industrial Estate,Carlisle,CA3 0HE,,1228279130,Must call 1hour before collection and get a name,,AC01,
LJ24PCE,332342,MG,HS,19/05/2025,2990502,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Carlisle Motorstore,Wakefield Road,Kingstown Industrial Estate,Carlisle,CA3 0HE,,1228279130,Must call 1hour before collection and get a name,,AC01,
LG73KVL,182167,MG,HS,19/05/2025,2990497,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Chertsey Motorstore,Staines Road,,Chertsey,KT16 9DA,,1932502773,Must call 1hour before collection and get a name,,AC01,
LG23ZUW,121219,MG,HS,19/05/2025,2990495,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Chesterfield Motorstore,Meltham Way,,Chesterfield,S41 7LG,,1246956450,Must call 1hour before collection and get a name,,AC01,
LC73VCM,205614,MG,HS,19/05/2025,2990496,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Chesterfield Motorstore,Meltham Way,,Chesterfield,S41 7LG,,1246956450,Must call 1hour before collection and get a name,,AC01,
LJ24NJG,334260,MG,HS,19/05/2025,2990476,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Huddersfield Motorstore,386 Leeds Road,,Huddersfield,HD2 1XL,,1484955670,Must call 1hour before collection and get a name,,AC01,
LC24VVX,089184,MG,HS,19/05/2025,2990477,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Huddersfield,Renault/Dacia/Fiat/Abarth/Jeep/Alfa Romeo 649 Leeds Road,,Huddersfield,HD2 1YS,,1484955460,Must call 1hour before collection and get a name,,AC01,
LC24VYK,090524,MG,HS,19/05/2025,2990462,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Leeds Roseville Road Motorstore,Roseville Road,,Leeds,LS8 5QP,,1137333804,Must call 1hour before collection and get a name,,AC01,
LD73VAJ,183360,MG,HS,19/05/2025,2990450,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Liverpool Motorstore/Kia/MG,55 Sefton Street,,Liverpool,L8 6UD,,1518329460,Must call 1hour before collection and get a name,,AC01,
LC73DHS,306329,MG,HS,19/05/2025,2990451,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Liverpool Motorstore/Kia/MG,55 Sefton Street,,Liverpool,L8 6UD,,1518329460,Must call 1hour before collection and get a name,,AC01,
LG73KTA,186129,MG,HS,19/05/2025,2990452,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Liverpool Motorstore/Kia/MG,55 Sefton Street,,Liverpool,L8 6UD,,1518329460,Must call 1hour before collection and get a name,,AC01,
LD24VCT,317736,MG,HS,19/05/2025,2990453,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Liverpool Motorstore/Kia/MG,55 Sefton Street,,Liverpool,L8 6UD,,1518329460,Must call 1hour before collection and get a name,,AC01,
LJ24OZY,336263,MG,HS,19/05/2025,2990406,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,22/05/2025,Newcastle Under Motorstore,Brymbo Road,Lymedale Park,Newcastle Under Lyme,ST5 9HX,,1782476140,Must call 1hour before collection and get a name,,AC01,
