REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
WT21ETU,P59785,FORD,FIESTA,18/06/2025,3016982,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,23/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
FG22AXB,017104,VOLKSWAGEN,GOLF,18/06/2025,3016985,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,23/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
FL22CWX,L29211,FORD,FOCUS,18/06/2025,3016990,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,23/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
BJ22XYP,142811,VAUXHALL,CROSSLAND,18/06/2025,3017000,Dudley Motor Company Vauxhall,Trindle Road,,DUDLEY,DY2 7AZ,,1384454100,23/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
LV72ZVL,063436,VOLKSWAGEN,TCROSS,18/06/2025,3017040,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,23/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
YE22OFL,076586,CITROEN,C4,18/06/2025,3017043,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,23/06/2025,Newcastle Under Motorstore,Brymbo Road,Lymedale Park,Newcastle Under Lyme,ST5 9HX,,1782476140,Must call 1hour before collection and get a name,,AC01,
KR22AXY,081427,PEUGEOT,3008,18/06/2025,3017049,Wycliffe Peugeot Rugby,Leicester Road,,RUGBY,CV21 1NZ,,1788562731,23/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
CP22VTW,024092,AUDI,Q2,18/06/2025,3017070,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,23/06/2025,Salford Vauxhall/Fiat/Abrath/MG,1 Brunel Ave,,Salford,M5 4BE,,1616763710,Must call 1hour before collection and get a name,,AC01,
WP72RVT,009818,AUDI,Q2,18/06/2025,3017078,Mon Motors Audi Bristol,Lysander Road,,BRISTOL,BS10 7FF,,1179581450,23/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,AC01,
