REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
SW23EHF,186769,KIA,CEED,27/05/2025,2995940,Hexham GWM,Corbridge Rd,,Hexham,NE46 1UL,,1434693730,30/05/2025,Liverpool Motorstore/Kia/MG,55 Sefton Street,,Liverpool,L8 6UD,,1518329460,Must call 1hour before collection and get a name,,AC01,
FL70SVA,060755,CITROEN,C5 AIRCROSS,27/05/2025,2996018,Sunderland MG,Trafford Road,Southwick,Sunderland,SR5 2DA,,1912536090,30/05/2025,Chesterfield Motorstore,Meltham Way,,Chesterfield,S41 7LG,,1246956450,Must call 1hour before collection and get a name,,AC01,
SB22XTU,043108,VAUXHALL,MOKKA,27/05/2025,2996115,Birtley Motorstore,Portobello Road,Birtley,Chester Le Street,DH3 2SN,,1918237810,30/05/2025,Stafford Motorstore,Spitfire Close,,Stafford,ST16 1GX,,1785904820,Must call 1hour before collection and get a name,,AC01,
NK73ZYN,634864,RENAULT,AUSTRAL,27/05/2025,2996120,Sherwoods Peugeot Gateshead,Durham Rd,,Gateshead,NE8 4AP,,1913574497,30/05/2025,St Helens Renault/Dacia,Delphwood Drive,,St Helens,WA9 5JE,,1744415050,Must call 1hour before collection and get a name,,AC01,
PE20PGX,MERCEDES,MERCEDES-BENZ,GL CLASS,27/05/2025,2996146,Birtley Motorstore,Portobello Road,Birtley,Chester Le Street,DH3 2SN,,1918237810,30/05/2025,Chesterfield Motorstore,Meltham Way,,Chesterfield,S41 7LG,,1246956450,Must call 1hour before collection and get a name,,AC01,
