REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
CK72HDL,228285,HYUNDAI,TUCSON,19/06/2025,3018508,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,24/06/2025,Huddersfield Motorstore,386 Leeds Road,,Huddersfield,HD2 1XL,,1484955670,Must call 1hour before collection and get a name,,AC01,
EN22FSL,220337,HYUNDAI,TUCSON,19/06/2025,3018509,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,24/06/2025,Huddersfield Motorstore,386 Leeds Road,,Huddersfield,HD2 1XL,,1484955670,Must call 1hour before collection and get a name,,AC01,
YR25CYX,001699,CUPRA,TAVASCAN,19/06/2025,3018530,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,24/06/2025,Huddersfield Motorstore,386 Leeds Road,,Huddersfield,HD2 1XL,,1484955670,Must call 1hour before collection and get a name,,AC01,
GF71FMP,832506,PEUGEOT,2008,19/06/2025,3018531,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,24/06/2025,Huddersfield Motorstore,386 Leeds Road,,Huddersfield,HD2 1XL,,1484955670,Must call 1hour before collection and get a name,,AC01,
FE22KYZ,034184,PEUGEOT,3008,19/06/2025,3018532,Vertu Peugeot Derby,Sir Frank Whittle Way,,Derby,DE21 4RX,,1332361626,24/06/2025,Huddersfield Motorstore,386 Leeds Road,,Huddersfield,HD2 1XL,,1484955670,Must call 1hour before collection and get a name,,AC01,
PK74DVN,287970,RENAULT,AUSTRAL,19/06/2025,3018533,Arnold Clark Renault Liverpool,Sefton Street,,LIVERPOOL,L8 6PZ,,1515528000,24/06/2025,Huddersfield Motorstore,386 Leeds Road,,Huddersfield,HD2 1XL,,1484955670,Must call 1hour before collection and get a name,,AC01,
M900RTM,034631,AUDI,Q2,19/06/2025,3018576,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,24/06/2025,Stourbridge Fiat/Motorstore/Abarth,Brettell Lane,Amblecote,Stourbridge,DY8 4BP,,1384987054,Must call 1hour before collection and get a name,,AC01,
