REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
DK22VWS,374090,MERCEDES-BENZ,GL CLASS,18/06/2025,3016576,Mercedes-Benz of Liverpool,66-68 Pall Mall,,LIVERPOOL,L3 7DB,,1512274171,23/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
DY20YMZ,038532,SKODA,KAROQ,18/06/2025,3016594,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/06/2025,Wakefield Motorstore,Unit 1 Calder Park Services,Peel Avenue,Wakefield,WF2 7BL,,01924975790,Must call 1hour before collection and get a name,,AC01,
MV22FBD,290431,MERCEDES-BENZ,CLA CLASS,18/06/2025,3016599,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/06/2025,Wakefield Motorstore,Unit 1 Calder Park Services,Peel Avenue,Wakefield,WF2 7BL,,01924975790,Must call 1hour before collection and get a name,,AC01,
LT73CVS,276803,NISSAN,JUKE,18/06/2025,3016600,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/06/2025,Wakefield Motorstore,Unit 1 Calder Park Services,Peel Avenue,Wakefield,WF2 7BL,,01924975790,Must call 1hour before collection and get a name,,AC01,
103356,AUDI,AUDI,A3,18/06/2025,3016620,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/06/2025,Wakefield Motorstore,Unit 1 Calder Park Services,Peel Avenue,Wakefield,WF2 7BL,,01924975790,Must call 1hour before collection and get a name,,AC01,
MT22FNP,094795,VOLKSWAGEN,TCROSS,18/06/2025,3016621,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/06/2025,Wakefield Motorstore,Unit 1 Calder Park Services,Peel Avenue,Wakefield,WF2 7BL,,01924975790,Must call 1hour before collection and get a name,,AC01,
