REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
BMZ1727,130238,TOYOTA,AYGO,23/06/2025,3020982,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,26/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
WGZ5352,297363,TOYOTA,COROLLA,23/06/2025,3020994,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,26/06/2025,Burton Motorstore,James Brindley Way,Stretton,Burton On Trent,DE13 0LB,,1283387740,Must call 1hour before collection and get a name,,AC01,
GX22XPC,111630,SEAT,IBIZA,23/06/2025,3021005,Bartletts SEAT St Leonards-on-Sea,Whitworth Road,,Whitworth Road,TN37 7PZ,,,26/06/2025,Newcastle Under Motorstore,Brymbo Road,Lymedale Park,Newcastle Under Lyme,ST5 9HX,,1782476140,Must call 1hour before collection and get a name,,AC01,
AK22YXA,211350,VAUXHALL,CROSSLAND,23/06/2025,3021010,EMG Kia Kings Lynn,Beveridge Way,,KING'S LYNN,PE30 4NB,,1553770060,26/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
GN74HRO,K99145,JEEP,AVENGER,23/06/2025,3021039,Lipscomb Jeep Maidstone,Performance House,,Aylesford,ME20 7XA,,1622882844,26/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
FV70UOR,505331,VOLVO,XC40,23/06/2025,3021055,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,26/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
ST22KKD,511395,SKODA,KODIAQ,23/06/2025,3021059,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,26/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
NL74FKO,089510,CITROEN,C3,23/06/2025,3021083,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,26/06/2025,Newcastle Citroen/Jeep/Alfa Romeo,Kittiwake Close,Silverlink Park,Wallsend,NE28 9ND,,1912953000,Must call 1hour before collection and get a name,,AC01,
KP22NBZ,061078,PEUGEOT,3008,23/06/2025,3021084,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,26/06/2025,Newcastle Citroen/Jeep/Alfa Romeo,Kittiwake Close,Silverlink Park,Wallsend,NE28 9ND,,1912953000,Must call 1hour before collection and get a name,,AC01,
YB73VHV,943901,RENAULT,CAPTUR,23/06/2025,3021161,Pentagon Peugeot Barnsley,Claycliffe Road,,South Yorkshire,S75 1LR,,3303906799,26/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
