REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
LB24XEC,098772,MG,HS,20/05/2025,2990503,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,23/05/2025,Bolton Motorstore,Springfield,,Bolton,BL2 1HY,,5000000000,Must call 1hour before collection and get a name,,AC01,
LD73VAK,186983,MG,HS,20/05/2025,2990504,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,23/05/2025,Bolton Motorstore,Springfield,,Bolton,BL2 1HY,,5000000000,Must call 1hour before collection and get a name,,AC01,
LD24WNF,338471,MG,HS,20/05/2025,2990498,X Manheim Bruntingthorpe,Bruntingthorpe Proving Ground,Bath Lane,Bruntingthorpe,LE17 5QS,,1162799310,23/05/2025,Carlisle Motorstore,Wakefield Road,Kingstown Industrial Estate,Carlisle,CA3 0HE,,1228279130,Must call 1hour before collection and get a name,,AC01,
