REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
GL24KCG,148498,AUDI,Q3,11/06/2025,3010565,Lipscomb Volvo Canterbury,Nordic House,,CANTERBURY,CT4 7HH,,1227732250,16/06/2025,Prep Centre Wolverhampton,Bearing Drive,Steel Park Way,Wolverhampton,WV11 3SV,,1902937977,Must call 1hour before collection and get a name,,AC01,
HK71YMP,061932,CITROEN,C4,11/06/2025,3010571,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,16/06/2025,Prep Centre Wolverhampton,Bearing Drive,Steel Park Way,Wolverhampton,WV11 3SV,,1902937977,Must call 1hour before collection and get a name,,AC01,
BP22CXV,188593,HYUNDAI,BAYON,11/06/2025,3010578,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,16/06/2025,Prep Centre Wolverhampton,Bearing Drive,Steel Park Way,Wolverhampton,WV11 3SV,,1902937977,Must call 1hour before collection and get a name,,AC01,
FT24DZA,282636,HYUNDAI,TUCSON,11/06/2025,3010583,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,16/06/2025,Stafford Motorstore,Spitfire Close,,Stafford,ST16 1GX,,1785904820,Must call 1hour before collection and get a name,,AC01,
CA22TSU,191426,VAUXHALL,CORSA,11/06/2025,3010689,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,16/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
LX22RZG,028518,AUDI,A1,11/06/2025,3010693,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,16/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
ML74EFK,010378,SKODA,KAMIQ,11/06/2025,3010694,Ryders KGM Warrington,Athlone Road,,Warrington,WA2 8JJ,,1925411311,16/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
SRZ7291,037358,HYUNDAI,I20,11/06/2025,3010696,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,16/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
EJ71KRV,939189,CITROEN,C4 SPACETOURER,11/06/2025,3010698,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,16/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
HJ24DYA,056293,VOLKSWAGEN,TAIGO,11/06/2025,3010702,Ocean Audi Poole,Old Wareham Road,,Dorset,BH12 4QN,,1202775050,16/06/2025,Burton Motorstore,James Brindley Way,Stretton,Burton On Trent,DE13 0LB,,1283387740,Must call 1hour before collection and get a name,,AC01,
PJ22VRY,194790,TOYOTA,C-HR,11/06/2025,3010703,Lloyd MINI Blackpool,Whitehills Business Park,,Blackpool,FY4 5PQ,,1253607600,16/06/2025,Burton Motorstore,James Brindley Way,Stretton,Burton On Trent,DE13 0LB,,1283387740,Must call 1hour before collection and get a name,,AC01,
WA70LFT,432140,VOLVO,XC40,11/06/2025,3010704,South West Nissan Wellington,Summerfield Way,,WELLINGTON,TA21 9JE,,1823667511,16/06/2025,Burton Motorstore,James Brindley Way,Stretton,Burton On Trent,DE13 0LB,,1283387740,Must call 1hour before collection and get a name,,AC01,
PN22VAK,680037,KIA,STONIC,11/06/2025,3010705,Pentagon Peugeot Barnsley,Claycliffe Road,,South Yorkshire,S75 1LR,,3303906799,16/06/2025,Burton Motorstore,James Brindley Way,Stretton,Burton On Trent,DE13 0LB,,1283387740,Must call 1hour before collection and get a name,,AC01,
AV22VLM,037375,VAUXHALL,MOKKA,11/06/2025,3010722,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,16/06/2025,Huddersfield,Renault/Dacia/Fiat/Abarth/Jeep/Alfa Romeo 649 Leeds Road,,Huddersfield,HD2 1YS,,1484955460,Must call 1hour before collection and get a name,,AC01,
SY25EBN,057847,FIAT,600,11/06/2025,3010747,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,16/06/2025,York Motorstore,Nether Poppleton,,York,YO26 6RL,,7000000000,Must call 1hour before collection and get a name,,AC01,
KN22XBV,037054,KIA,SPORTAGE,11/06/2025,3010749,Glyn Hopkin MG Milton Keynes,2 Merton Drive,,Milton Keynes,MK6 4AG,,1908249808,16/06/2025,York Motorstore,Nether Poppleton,,York,YO26 6RL,,7000000000,Must call 1hour before collection and get a name,,AC01,
WR22BAO,092126,HYUNDAI,KONA,11/06/2025,3010750,Vertu Hyundai Bristol,St Phillips Causeway,,Bristol,BS4 3BD,,3445586494,16/06/2025,York Motorstore,Nether Poppleton,,York,YO26 6RL,,7000000000,Must call 1hour before collection and get a name,,AC01,
RJ24SVV,034978,VOLKSWAGEN,TCROSS,11/06/2025,3010751,Marshall Volkswagen Reading,Rose Kiln Lane,,READING,RG2 0JZ,,1189759191,16/06/2025,York Motorstore,Nether Poppleton,,York,YO26 6RL,,7000000000,Must call 1hour before collection and get a name,,AC01,
