REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
YY23KJF,K68692,FORD,PUMA,04/06/2025,3004157,Evans Halshaw Ford Hull,Priory Park,,Hull,HU4 7DY,,1482357200,09/06/2025,Leyland Motorstore,Goldenhill Lane,Farrington Ind Est,Leyland,PR25 3GG,,1772419400,Must call 1hour before collection and get a name,,AC01,
PK22GUG,091222,SEAT,ARONA,04/06/2025,3004167,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
DS72HJE,219266,MG,ZSS,04/06/2025,3004170,Dudley Motor Company Vauxhall,Trindle Road,,DUDLEY,DY2 7AZ,,1384454100,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
MD71UGO,002452,CITROEN,C4,04/06/2025,3004171,Stellantis & You Citroen Manchester,Upper Wharf Street,,Salford,M5 4BY,,1612743577,09/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
SG73VYC,084685,BYD,ATTO 3,04/06/2025,3004526,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
LY22BGX,271557,VAUXHALL,CROSSLAND,04/06/2025,3004527,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
CY71BYN,084928,HYUNDAI,IONIQ,04/06/2025,3004530,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
AO22YMU,S42638,FORD,FOCUS,04/06/2025,3004531,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
DY72YBZ,157488,NISSAN,QASHQAI,04/06/2025,3004506,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
OV22EFK,371004,MERCEDES-BENZ,GL CLASS,04/06/2025,3004470,Vertu Mercedes-Benz Aylesbury,Bicester Road,,AYLESBURY,HP19 8BL,,3449471346,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
EO70KGK,434732,VOLVO,XC40,04/06/2025,3004473,Lookers Volvo Chelmsford,4 Baynes Place,,Chelmsford,CM1 2QX,,1245240555,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
LX22TXV,033568,AUDI,Q2,04/06/2025,3004566,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,09/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
EY22JVW,105491,NISSAN,QASHQAI,04/06/2025,3004522,Trans City Car Centre Škoda Walthamstow,120A Chigwell Road,,London,E18 1NN,,2085206758,09/06/2025,Preston Renault/Dacia,"Riverside Motor Park, Admirals Way",Ashton On Ribble,Preston,PR2 2TY,,1772808234,Must call 1hour before collection and get a name,,AC01,
