REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
LT73CVS,276803,NISSAN,JUKE,18/06/2025,3016600,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/06/2025,Wakefield Motorstore,Unit 1 Calder Park Services,Peel Avenue,Wakefield,WF2 7BL,,01924975790,Must call 1hour before collection and get a name,,AC01,
PN24LLT,103356,AUDI,A3,18/06/2025,3016620,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/06/2025,Wakefield Motorstore,Unit 1 Calder Park Services,Peel Avenue,Wakefield,WF2 7BL,,01924975790,Must call 1hour before collection and get a name,,AC01,
MT22FNP,094795,VOLKSWAGEN,TCROSS,18/06/2025,3016621,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/06/2025,Wakefield Motorstore,Unit 1 Calder Park Services,Peel Avenue,Wakefield,WF2 7BL,,01924975790,Must call 1hour before collection and get a name,,AC01,
YT22GDK,127384,KIA,CEED,18/06/2025,3016628,Drayton Motors Kia Louth,North Holme Road,,Louth,LN11 0HQ,,1507307060,23/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
038174,NISSAN,NISSAN,JUKE,18/06/2025,3016629,Lookers Kia Chester,302 Sealand Road,,Chester,CH1 4LQ,,1244394325,23/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
MA22VGE,178127,HYUNDAI,TUCSON,18/06/2025,3016630,Sytner Volvo Warrington,37 Winwick Road,,WARRINGTON,WA2 7DH,,1925973512,23/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
