REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
MT22AJU,L00473,FORD,FIESTA,12/05/2025,2981624,Bolton Kia,79 The Linkway,,Bolton,BL6 6JA,,1204664800,15/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Please call 1 hour before collection,,AC01,
MK22BNZ,090340,NISSAN,QASHQAI,12/05/2025,2983371,Chorley Group Nissan Burnley,Westgate,,BURNLEY,BB11 1RY,,1282434300,15/05/2025,Carlisle Motorstore,Wakefield Road,Kingstown Industrial Estate,Carlisle,CA3 0HE,,1228279130,Please call 1 hour before collection,,AC01,
DX71RHZ,073855,AUDI,Q3,12/05/2025,2983374,Group 1 Volkswagen Shrewsbury,Vanguard Way,,Shrewsbury,SY1 3TG,,1743453400,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
MW71LXV,R98066,MINI,ONE,12/05/2025,2983387,Williams MINI Rochdale,Trans Pennine Trading Estate,,ROCHDALE,OL11 2PX,,1706717700,15/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Please call 1 hour before collection,,AC01,
LA21FVH,037314,AUDI,Q2,12/05/2025,2983389,Sytner Audi West London,958 Great West Road,,Brentford,TW8 9BQ,,2045862783,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
HS24EOX,066737,AUDI,A1,12/05/2025,2983393,Peter Cooper Volkswagen Portsmouth,Bilton Way,,PORTSMOUTH,PO3 5FH,,2392661000,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
VA24EFD,218444,VAUXHALL,CORSA,12/05/2025,2983346,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
YF73XZG,348082,VAUXHALL,CORSA,12/05/2025,2983337,Perrys Vauxhall Huddersfield,Northgate,,HUDDERSFIELD,HD1 6AP,,1484700461,15/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Please call 1 hour before collection,,AC01,
FG73UAH,045985,TOYOTA,COROLLA,12/05/2025,2983334,Marshall Škoda Leicester,414 - 416 Groby Rd,,Leicester,LE3 9QB,,1162339222,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
LL24FYZ,505847,HYUNDAI,TUCSON,12/05/2025,2983333,Endeavour Hyundai North London,Colney Hatch Lane,,London,N11 3DG,,2084576660,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
DF24TWK,145918,SEAT,IBIZA,12/05/2025,2983286,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,15/05/2025,Shrewsbury Motorstore,7 Battlefield Road,,Shrewsbury,SY1 4AE,,1743648058,Please call 1 hour before collection,,AC01,
DV73WJJ,232761,KIA,SPORTAGE,12/05/2025,2983262,BS Marson & Sons Fiat Newcastle-under-Lyme,Deansgate Garage,,NEWCASTLE-UNDER-LYME,ST5 2HN,,1782622141,15/05/2025,Manchester Vauxhall,Del To Storage Compound,Thornbury Road,Manchester,M32 0RB,,7857916554,Please call 1 hour before collection,,AC01,
PL73FXD,244988,SKODA,KAMIQ,12/05/2025,2983335,Simpsons Škoda Preston,Simpsons Trade and Preparations Centre,,Preston,PR5 6SY,,1772722200,15/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Please call 1 hour before collection,,AC01,
ML22LXR,Y64587,FORD,PUMA,12/05/2025,2983349,Evans Halshaw Ford Altrincham,258 Manchester Road,,Altrincham,WA14 5LZ,,1619290365,15/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Please call 1 hour before collection,,AC01,
BT71MLV,011466,VOLKSWAGEN,TIGUAN,12/05/2025,2983375,Paul Rigby Volvo Erdington,Paul Rigby Ltd,,Birmingham,B24 0QY,,1213821222,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
VK22EUH,183978,HYUNDAI,TUCSON,12/05/2025,2983343,Paul Rigby Hyundai Bromsgrove,2 - 12 Station Street,,Bromsgrove,B60 2BS,,1527872071,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
KT22HXY,288117,HYUNDAI,IONIQ,12/05/2025,2983282,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,15/05/2025,Shrewsbury Motorstore,7 Battlefield Road,,Shrewsbury,SY1 4AE,,1743648058,Please call 1 hour before collection,,AC01,
AF22JJV,B02977,SUZUKI,VITARA,12/05/2025,2983350,Close Suzuki Corby,7-11 High Street,,Corby,NN17 1UX,,1536205555,15/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
