REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
WG74AUP,008464,VOLKSWAGEN,TCROSS,14/05/2025,2984342,Murray Volkswagen Plymouth,44 Millbay Road,,PLYMOUTH,PL1 3FQ,,1752668351,19/05/2025,Northwich Vauxhall/Kia,Manchester Road,,Northwich,CW9 5GG,,1606663740,Please call 1 hour before collection,,AC01,
YD22EAC,169403,TOYOTA,C-HR,14/05/2025,2985089,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,19/05/2025,Leeds Roseville Road Motorstore,Roseville Road,,Leeds,LS8 5QP,,1137333804,Please call 1 hour before collection,,AC01,
PN71YOM,007990,VOLKSWAGEN,TROC,14/05/2025,2985954,Johnsons CUPRA Liverpool,6 Pall Mall,,Liverpool,L3 6AL,,1512432100,19/05/2025,Stoke Vauxhall,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Please call 1 hour before collection,,AC01,
FJ22HAE,N43047,JEEP,RENEGADE,14/05/2025,2985955,Stoneacre Jeep Chesterfield,Brimington Road,,Chesterfield,S41 9AJ,,1246642914,19/05/2025,Stoke Vauxhall,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Please call 1 hour before collection,,AC01,
AV74VKU,294998,VAUXHALL,CORSA,14/05/2025,2985958,Marshall Vauxhall Ipswich,2-4 Augusta Close,,IPSWICH,IP3 9SS,,1473877293,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
EJ20JFA,147071,MERCEDES-BENZ,CLA CLASS,14/05/2025,2985959,Milton Keynes Hyundai,3 Denbigh Road,,Milton Keynes,MK1 1DF,,1908793050,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
BD73TWP,D70907,FORD,FOCUS,14/05/2025,2985960,Evans Halshaw Ford Walsall,Pleck Road,,WALSALL,WS2 9EX,,1922748200,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
EY25VDT,008851,NISSAN,X-TRAIL,14/05/2025,2985961,Stellantis & You Peugeot Romford,134 London Road,,Romford,RM7 9QU,,1708764506,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
BL23LNZ,103471,TOYOTA,AYGO,14/05/2025,2985962,Motorfair Hyundai Birmingham,220 The Radleys,,Birmingham,B33 0QR,,1217882000,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
EO74VNA,313708,VAUXHALL,CORSA,14/05/2025,2985963,Toomey Vauxhall Basildon,Service House,,BASILDON,SS15 6RW,,1268919312,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
LG24HEO,077540,VOLKSWAGEN,POLO,14/05/2025,2985964,Volvo Cars Thames Ditton,Thames House,,Thames Ditton,KT7 0EQ,,2086298210,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
MW74EWJ,406967,VOLKSWAGEN,TIGUAN,14/05/2025,2985971,Group 1 Volkswagen Bolton,Mill Street Industrial Estate,,BOLTON,BL2 2BL,,1204531464,19/05/2025,Paisley Fiat / Abarth,Renfrew Road,,Paisley,PA3 4AR,,1417297780,Please call 1 hour before collection,,AC01,
LN74RYJ,026697,AUDI,A3,14/05/2025,2985972,Group 1 Audi Watford,Otterspool Way,,Watford,WD25 8HL,,1923202800,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
MA20LKC,072557,VOLKSWAGEN,TIGUAN,14/05/2025,2985974,Group 1 Volkswagen Macclesfield,Winterton Way,,MACCLESFIELD,SK11 0LP,,1625652700,19/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Please call 1 hour before collection,,AC01,
BX22VGP,068297,FIAT,500,14/05/2025,2985979,Arnold Clark Fiat Stourbridge,Brettell Lane,,STOURBRIDGE,DY8 4BP,,1384393231,19/05/2025,Leyland Motorstore,Goldenhill Lane,Farrington Ind Est,Leyland,PR25 3GG,,1772419400,Please call 1 hour before collection,,AC01,
GX22XMP,528843,SEAT,ATECA,14/05/2025,2985980,Bartletts SEAT St Leonards-on-Sea,Whitworth Road,,Whitworth Road,TN37 7PZ,,,19/05/2025,Leyland Motorstore,Goldenhill Lane,Farrington Ind Est,Leyland,PR25 3GG,,1772419400,Please call 1 hour before collection,,AC01,
FL73WBM,013432,NISSAN,X-TRAIL,14/05/2025,2985981,Perrys Ford Mansfield,Sherwood Avenue,,MANSFIELD,NG18 4GF,,1623390932,19/05/2025,Leyland Motorstore,Goldenhill Lane,Farrington Ind Est,Leyland,PR25 3GG,,1772419400,Please call 1 hour before collection,,AC01,
GJ73YSF,012493,AUDI,A1,14/05/2025,2985991,JCB Renault Canterbury,Vauxhall Road,,Canterbury,CT1 1HD,,1227947252,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
RA22XHC,K89874,BMW,1 SERIES,14/05/2025,2985992,Sytner BMW High Wycombe,575-647 London Road,,HIGH WYCOMBE,HP11 1EZ,,1494455100,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
FT22RBY,124506,VAUXHALL,CORSA,14/05/2025,2985094,Evans Halshaw Ford Gainsborough,Lea Road,,GAINSBOROUGH,DN21 1AF,,1427676812,19/05/2025,Leeds Roseville Road Motorstore,Roseville Road,,Leeds,LS8 5QP,,1137333804,Please call 1 hour before collection,,AC01,
KT24VNV,318344,KIA,SPORTAGE,14/05/2025,2985482,Allen Kia Milton Keynes,300 Stratford Road,,MILTON KEYNES,MK12 5RS,,1908822817,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
FV20HTK,023125,SEAT,TARRACO,14/05/2025,2985791,Pratt & Gelsthorpe Peugeot Newark-on-Trent,Balderton Gate,,NEWARK,NG24 1UF,,1636673888,19/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Please call 1 hour before collection,,AC01,
