REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
MT23EXL,048144,VOLKSWAGEN,TIGUAN,20/05/2025,2986931,X BCA Portbury,Portbury Mainsite,Royal Portbury Dock,Bristol,BS20 7XJ,,1275374041,23/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
WP71JKY,406391,TESLA,MODEL 3,20/05/2025,2986933,X BCA Portbury,Portbury Mainsite,Royal Portbury Dock,Bristol,BS20 7XJ,,1275374041,23/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
YD73RSK,263664,KIA,SPORTAGE,20/05/2025,2987076,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/05/2025,Liverpool Renault / Dacia / Alpine,Sefton Street,,Liverpool,L8 6PZ,,1515528000,Must call 1hour before collection and get a name,,AC01,
YF24WUE,070290,VOLKSWAGEN,POLO,20/05/2025,2987088,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
YC22YXX,036346,KIA,SPORTAGE,20/05/2025,2986997,Cars2 Nissan Wakefield,Charlesworth Way,,Wakefield,WF2 9SF,,1924362100,23/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
SG70YBN,D39798,FORD,PUMA,20/05/2025,2987009,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
SD74MWG,522989,HYUNDAI,TUCSON,20/05/2025,2987033,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
CK71YFY,008821,AUDI,Q2,20/05/2025,2987046,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,23/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
HN22JAU,128748,RENAULT,CAPTUR,20/05/2025,2987060,Yeomans Nissan Portsmouth,Clement Attle Way,,Cosham,PO6 4SR,,2392320320,23/05/2025,Liverpool Renault / Dacia / Alpine,Sefton Street,,Liverpool,L8 6PZ,,1515528000,Must call 1hour before collection and get a name,,AC01,
LV22UBK,248602,RENAULT,CAPTUR,20/05/2025,2987061,Ancaster Nissan Croydon,441 Brighton Road.,,SOUTH CROYDON,CR2 6EU,,2086556300,23/05/2025,Liverpool Renault / Dacia / Alpine,Sefton Street,,Liverpool,L8 6PZ,,1515528000,Must call 1hour before collection and get a name,,AC01,
