REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
WR22LYA,135145,HYUNDAI,I10,15/05/2025,2987129,Howards Honda Taunton,Priorswood Road,,TAUNTON,TA2 8DN,,1823273400,20/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
DE22EOZ,Y60429,FORD,CONNECT,15/05/2025,2987590,M53 Ford Ellesmere Port,Rossmore Road East,,ELLESMERE PORT,CH65 3BR,,1513571221,20/05/2025,Leyland Motorstore,Goldenhill Lane,Farrington Ind Est,Leyland,PR25 3GG,,1772419400,Must call 1hour before collection and get a name,,AC01,
EK24VPN,179468,KIA,SPORTAGE,15/05/2025,2987591,Brayley Kia Enfield,660 Great Cambridge Road,,Middlesex,EN1 3WX,,2084191500,20/05/2025,Wakefield Motorstore,Peel Avenue,,Wakefield,WF2 7BL,,1000000000,Must call 1hour before collection and get a name,,AC01,
BL72XBM,181782,NISSAN,LEAF,15/05/2025,2987670,X CAG Peterborough Purple Rock Logistics,Stamford Road Kings Cliffe,Kings Cliffe,Peterborough,PE8 6XX,,1733371881,20/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
BK70DSE,118492,MERCEDES-BENZ,CLA CLASS,15/05/2025,2987739,Johnsons Volkswagen Birmingham,Lawley Middleway,,BIRMINGHAM,B4 7XT,,1217036600,20/05/2025,Manchester Vauxhall,Del To Storage Compound,Thornbury Road,Manchester,M32 0RB,,7857916554,Must call 1hour before collection and get a name,,AC01,
WU22LXV,093815,SEAT,ARONA,15/05/2025,2987740,Edwards Mazda Worcester,Baynhall Garage,,WORCESTER,WR5 3PA,,1905828800,20/05/2025,Manchester Vauxhall,Del To Storage Compound,Thornbury Road,Manchester,M32 0RB,,7857916554,Must call 1hour before collection and get a name,,AC01,
PX73XZB,389624,HYUNDAI,TUCSON,15/05/2025,2987741,James Haugh Vauxhall Dumfries,DUMFRIES,,DUMFRIES,DG1 1HD,,,20/05/2025,Manchester Vauxhall,Del To Storage Compound,Thornbury Road,Manchester,M32 0RB,,7857916554,Must call 1hour before collection and get a name,,AC01,
LG22DXC,007620,SEAT,TARRACO,15/05/2025,2987742,Willis Motor Company Škoda Ruislip,Willis House,,RUISLIP,HA4 0BH,,2085159700,20/05/2025,Manchester Vauxhall,Del To Storage Compound,Thornbury Road,Manchester,M32 0RB,,7857916554,Must call 1hour before collection and get a name,,AC01,
YC22XTW,180978,HYUNDAI,TUCSON,15/05/2025,2987711,Cars2 MG Wakefield,Calder Island,,Wakefield,WF2 7AW,,1924683300,20/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
YY22BHJ,310113,TOYOTA,COROLLA,15/05/2025,2987764,Vantage Toyota Scarborough,Dunslow Road,,Scarborough,YO11 3UT,,1723586910,20/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
PK23EOH,050250,VOLKSWAGEN,TAIGO,15/05/2025,2987768,Lookers Volkswagen Blackpool,Volkswagen House,,BLACKPOOL,FY4 4UW,,1253695555,20/05/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
LV74UNX,205306,HONDA,JAZZ,15/05/2025,2981235,Brayleys Honda Orpington,222 Cray Avenue,,Orpington,BR5 3PZ,,2083036363,20/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
GD73BPX,790752,RENAULT,AUSTRAL,15/05/2025,2987712,BCA Fleet Solutions Ltd,Geddington Rd B,,Corby,NN18 8ET,,1536212786,20/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
EK70UAB,S67605,BMW,X1,15/05/2025,2987722,Marshall Volkswagen Harlow,River Way,,Essex,CM20 2TU,,1279400400,20/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
GF22LCK,311372,RENAULT,ARKANA,15/05/2025,2987728,Lipscomb Volvo Maidstone,Performance House,,AYLESFORD,ME20 7XA,,1622882840,20/05/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
