REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
CV22LJL,090548,SEAT,IBIZA,12/06/2025,3011766,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,17/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
AP23TSU,143018,SKODA,KAMIQ,12/06/2025,3011783,Group 1 Škoda Norwich,1 Wingate Way,,NORWICH,NR2 4UY,,1603751050,17/06/2025,Preston Motorstore,116 Hartington Rd,,Preston,PR1 8PQ,,1772418090,Must call 1hour before collection and get a name,,AC01,
HG24FSY,444602,HYUNDAI,BAYON,12/06/2025,3011726,Hendy Hyundai Poole,573 Wallisdown Road,,Bournemouth,BH12 5BA,,1202635000,17/06/2025,Stafford Motorstore,Spitfire Close,,Stafford,ST16 1GX,,1785904820,Must call 1hour before collection and get a name,,AC01,
VN24EHX,125562,CITROEN,C3,12/06/2025,3011729,Stellantis & You Peugeot Birmingham,100 Small Heath Highway,,BIRMINGHAM,B10 0BT,,1217667700,17/06/2025,Stafford Motorstore,Spitfire Close,,Stafford,ST16 1GX,,1785904820,Must call 1hour before collection and get a name,,AC01,
YV24FKN,217133,CITROEN,C3,12/06/2025,3011731,Evans Halshaw Citroen Doncaster,The Citroen Garage,,DONCASTER,DN2 4PE,,1302322222,17/06/2025,Stafford Motorstore,Spitfire Close,,Stafford,ST16 1GX,,1785904820,Must call 1hour before collection and get a name,,AC01,
GN24XVK,223538,CITROEN,C3,12/06/2025,3011734,Invicta Motors MG Maidstone,Sutton Road,,Maidstone,ME15 9NW,,1622686899,17/06/2025,Stafford Motorstore,Spitfire Close,,Stafford,ST16 1GX,,1785904820,Must call 1hour before collection and get a name,,AC01,
FV22KVL,026014,CITROEN,C4,12/06/2025,3011715,Right Car Renault Grimsby,West Coates Road,,Grimsby,DN31 2SU,,1472729729,17/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
CF73WVB,653357,RENAULT,CAPTUR,12/06/2025,3011722,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,17/06/2025,Stafford Motorstore,Spitfire Close,,Stafford,ST16 1GX,,1785904820,Must call 1hour before collection and get a name,,AC01,
SK22DFA,143154,KIA,E-NIRO,12/06/2025,3011702,BCA Fleet Solutions Ltd,BCA Fleet Solutions,,Corby,NN18 8EZ,,1536212786,17/06/2025,Stafford Motorstore,Spitfire Close,,Stafford,ST16 1GX,,1785904820,Must call 1hour before collection and get a name,,AC01,
MC74BWN,187454,BMW,IX2,12/06/2025,3011714,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,17/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
