REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
BG22OAS,029012,SKODA,SUPERB,09/06/2025,3008014,Listers Škoda Coventry,Earl Place Business Park,Fletchamstead Highway,Coventry,CV4 9XH,,2476686699,12/06/2025,Winsford Vauxhall,Weaver Valley Road,,Winsford,CW7 3DB,,1606663710,Must call 1hour before collection and get a name,,AC01,
PN22SGZ,541589,KIA,NIRO,09/06/2025,3008033,Just Hyundai Preston,262-274 Fylde Road,,Preston,PR2 2NJ,,1432615017,12/06/2025,Winsford Vauxhall,Weaver Valley Road,,Winsford,CW7 3DB,,1606663710,Must call 1hour before collection and get a name,,AC01,
LV22MMJ,204412,CITROEN,C3,09/06/2025,3008036,W J King SEAT Sidcup,129-137 Main Road,,SIDCUP,DA14 6PA,,2083008311,12/06/2025,Winsford Vauxhall,Weaver Valley Road,,Winsford,CW7 3DB,,1606663710,Must call 1hour before collection and get a name,,AC01,
GF22JAO,114281,KIA,XCEED,09/06/2025,3008043,Ashford Orbital Kia,Monument Way,,Ashford,TN24 0HB,,1233504500,12/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
PF23VXK,056047,AUDI,Q2,09/06/2025,3008049,West Riding Hyundai,North Valley Road,,Colne,BB8 9LJ,,1282863896,12/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
MK24STZ,018053,SKODA,KAMIQ,09/06/2025,3008051,Holdcroft Renault Crewe,Weston Road,,CREWE,CW1 6JS,,1270531000,12/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
LC22KNL,114137,KIA,XCEED,09/06/2025,3008053,Stellantis & You Vauxhall Wimbledon,80 Plough Lane,,Wimbledon,SW17 0BW,,2037472957,12/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
YW23OFO,149950,MG,ZSS,09/06/2025,3008057,Evans Halshaw Kia Hull,Priory Park,,HULL,HU4 7DY,,1482357590,12/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
WGZ4387,022318,PEUGEOT,208,09/06/2025,3008060,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,12/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
LF24OEC,112623,TOYOTA,COROLLA,09/06/2025,3008061,Sytner Mercedes-Benz of Temple Fortune,1089 Finchley Road,,London,NW11 0PU,,2087310200,12/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
FL24NGG,P02129,BMW,1 SERIES,09/06/2025,3008242,Marshall Volvo Nottingham,Riverside Retail Park,,Nottingham,NG2 1RS,,1159002620,12/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
YP73MMU,513522,SEAT,ATECA,09/06/2025,3008258,Stoneacre MG Doncaster,Barnby Dun Road,,Doncaster,DN2 4QP,,1302327111,12/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
YD22ENJ,665781,KIA,STONIC,09/06/2025,3008259,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,12/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
FD73TYW,007265,HONDA,ZR-V,09/06/2025,3008277,Vertu Honda Derby,Sir Frank Whittle Road,,DERBY,DE21 4SX,,3446599626,12/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
DG22YUY,072167,NISSAN,QASHQAI,09/06/2025,3008278,Stellantis & You Peugeot Liverpool,77 Mill Lane,,Liverpool,L13 4EJ,,1512541010,12/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
YM70HPF,510035,VOLVO,XC40,09/06/2025,3008279,Riverside Volvo Doncaster,Riverside Motors,,DONCASTER,DN2 4NL,,1302327108,12/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
BF22OXP,071657,SEAT,IBIZA,09/06/2025,3008288,Halesowen Audi,Manor Lane,,Halesowen,B62 8RD,,1215040000,12/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
PK70TDU,000850,MITSUBISHI,OUTLANDER,09/06/2025,3008290,Chorley Group Nissan Burnley,Westgate,,BURNLEY,BB11 1RY,,1282434300,12/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
MW22UKH,290674,HYUNDAI,IONIQ,09/06/2025,3008303,Johnsons Hyundai Liverpool,Rimrose Road,,Liverpool,L20 4TX,,1519341678,12/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
DU24VYL,343352,MG,ZSS,09/06/2025,3008306,Faintree Škoda Telford,Faintree Skoda,,Telford,TF3 3BD,,1952204999,12/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
MT70OTA,180906,MERCEDES-BENZ,CLA CLASS,09/06/2025,3008308,Williams BMW Stockport,Kings Reach Business Park,,Stockport,SK4 2JZ,,1614775500,12/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
