REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
SA22DYW,637019719167,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11071777/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Arnold Clark Renault Dumfries 361 Annan Road DUMFRIES DG1 3JR BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day RENAULT ARKANA ESTATE 1.6 E-TECH Std Trade Plate Movement",05/06/2025,11071777/1,Arnold Clark Renault Dumfries,361 Annan Road,,DUMFRIES,DG1 3JR,,01387340865,10/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Must call 1hour before collection and get a name,198.00,BC04,
SD22HNX,382735593500,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11072062/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions James Haugh Vauxhall Dumfries 2 St. Marys Street DUMFRIES DG1 1HD BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day VAUXHALL CROSSLAND DIESEL HATCHB Std Trade Plate Movement",05/06/2025,11072062/1,James Haugh Vauxhall Dumfries,2 St. Marys Street,,DUMFRIES,DG1 1HD,,01387255291,10/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Must call 1hour before collection and get a name,198.60,BC04,
AF22KGX,189329788190,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11078992/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions John Banks Dacia Cambridge 13 Swanns Road Cambridge CB5 8JZ BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day MG MOTOR UK ZS ELECTRIC HATCHBAC Std Trade Plate Movement",05/06/2025,11078992/1,John Banks Dacia Cambridge,13 Swanns Road,,Cambridge,CB5 8JZ,,01223370773,10/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Must call 1hour before collection and get a name,60.00,BC04,
AJ69DZF,345712552418,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11066209/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions F Vindis & Sons Volkswagen Cam 383 Milton Road CAMBRIDGE CB4 1SR Big Motoring World Morley Way Peterborough PE2 7BW Day Day VOLKSWAGEN T-ROC HATCHBACK 1.5 T Std Trade Plate Movement",05/06/2025,11066209/1,F Vindis & Sons Volkswagen Cam,383 Milton Road,,CAMBRIDGE,CB4 1SR,,01223424472,10/06/2025,Big Motoring World,Morley Way,,Peterborough,PE2 7BW,,01733838700,Must call 1hour before collection and get a name,60.00,BC04,
SN24BCC,918099995410,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11075699/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Park's Toyota St Boswells St. Boswells Garage Bowden MELROSE TD6 0EW BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day TOYOTA C-HR HATCHBACK 2.0 PHEV D Std Trade Plate Movement",05/06/2025,11075699/1,Park's Toyota St Boswells,St. Boswells Garage,Bowden,MELROSE,TD6 0EW,,01835822922,10/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Must call 1hour before collection and get a name,190.80,BC04,
SA72VSP,891453371415,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11079053/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Motorvogue Citroen Bury St Edm Western Way Bury St. Edmunds IP33 3SP BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day DS DS 4 HATCHBACK 1.6 PureTech 1 Std Trade Plate Movement",05/06/2025,11079053/1,Motorvogue Citroen Bury St Edm,Western Way,,Bury St. Edmunds,IP33 3SP,,01284330999,10/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Must call 1hour before collection and get a name,73.20,BC04,
