REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
SA22DYW,,,,06/06/2025,11071777/1,Arnold Clark Renault Dumfries,361 Annan Road,,DUMFRIES,DG1 3JR,,01387340865,06/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Release Code 637019719167,198.00,BC04,
SD22HNX,,,,06/06/2025,11072062/1,James Haugh Vauxhall Dumfries,2 St. Marys Street,,DUMFRIES,DG1 1HD,,01387255291,06/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Release Code 382735593500,198.60,BC04,
AF22KGX,,,,06/06/2025,11078992/1,John Banks Dacia Cambridge,13 Swanns Road,,Cambridge,CB5 8JZ,,01223370773,09/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Release Code 189329788190,60.00,BC04,
AJ69DZF,,,,06/06/2025,11066209/1,F Vindis & Sons Volkswagen Cam,383 Milton Road,,CAMBRIDGE,CB4 1SR,,01223424472,06/06/2025,Big Motoring World,Morley Way,,Peterborough,PE2 7BW,,01733838700,Release Code 345712552418,60.00,BC04,
SN24BCC,,,,06/06/2025,11075699/1,Park's Toyota St Boswells,St. Boswells Garage,Bowden,MELROSE,TD6 0EW,,01835822922,06/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Release Code 918099995410,190.80,BC04,
SA72VSP,,,,06/06/2025,11079053/1,Motorvogue Citroen Bury St Edm,Western Way,,Bury St. Edmunds,IP33 3SP,,01284330999,09/06/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,01536212786,Release Code 891453371415,73.20,BC04,
