REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
PF24XXZ,712650088965,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11045742/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Marshall Honda Blackburn 854 Whalley New Road Blackburn BB1 9BD BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day HONDA E NY1 HATCHBACK 150kW Adva",27/05/2025,11045742/1,Marshall Honda Blackburn,854 Whalley New Road,Blackburn,,BB1 9BD,,,30/05/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,0121,Must call 1hour before collection and get a name,132.60,BC04,
PY22HWX,262105192685,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11049596/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Dobies Peugeot Lillyhall Industrial Estate Lillyhall WORKINGTON CA14 4HX Available Car Limited Derbyshi Station road Castle Donington DE74 2NL Day Day HYUNDAI TUCSON ESTATE 1.6 TGDi S",27/05/2025,11049596/1,Dobies Peugeot,Lillyhall Industrial Estate,Lillyhall,WORKINGTON,CA14 4HX,,,30/05/2025,Available Car Limited Derbyshi,Station road,Castle Donington,Day Day,DE74 2NL,,0121,Must call 1hour before collection and get a name,157.80,BC04,
WE22ZER,217743185506,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11048895/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions David Hayton Mazda Kendal Station Road Kendal LA9 6BT BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day PEUGEOT 208 HATCHBACK 1.2 PureTe",27/05/2025,11048895/1,David Hayton Mazda Kendal,Station Road,Kendal,,LA9 6BT,,,30/05/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,0121,Must call 1hour before collection and get a name,152.40,BC04,
VE70NNP,484065906700,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11050189/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Wessex Garages Hyundai Cardiff 289 Penarth Road Cardiff CF11 8TT Cinch Cars Ltd Cinch SITE A Geddington road A Corby NN18 8AA Day Day AUDI A3 SPORTBACK SPECIAL EDITIO",27/05/2025,11050189/1,Wessex Garages Hyundai Cardiff,289 Penarth Road,Cardiff,,CF11 8TT,,,30/05/2025,Cinch Cars Ltd,Cinch SITE A,Geddington road A,Corby,NN18 8AA,,0121,Must call 1hour before collection and get a name,132.00,BC04,
PX22XOM,571549492798,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11044313/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Lloyd BMW South Lakes Kendal Road Grange-Over-Sands LA11 6QR BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day BMW X1 ESTATE xDrive 20i xLine 5",27/05/2025,11044313/1,Lloyd BMW South Lakes,Kendal Road,Grange-Over-Sands,,LA11 6QR,,,30/05/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,0121,Must call 1hour before collection and get a name,153.60,BC04,
AO22YBB,837056122759,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11046617/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Holden Volvo Norwich Compound Raynham Street, Norwich NR2 4LL Drayton Motors Kia Grantham Spittlegate Level GRANTHAM NG31 7UH Day Day KIA CEED HATCHBACK 1.5T GDi ISG",27/05/2025,11046617/1,Holden Volvo Norwich,Compound,"Raynham Street, Norwich",,NR2 4LL,,,30/05/2025,Drayton Motors Kia Grantham,Spittlegate Level,GRANTHAM,Day Day,NG31 7UH,,0121,Must call 1hour before collection and get a name,86.40,BC04,
PY70BOH,978612053266,Job,"Number Vehicle Reg Customer Reference Driver Mileage Job Price Job Type 11044348/1 - Vehicle must be moved as per the above dates, the important date(s) are highlighted. If the vehicle requires collection on a specific date the 'Collect on' date will be highlighted, whereas if the delivery is more important then the 'Deliver By' date will be highlighted (in yellow). - For any collection or delivery issues please contact customer services on 0844 742 0763. - Must complete a BCA Logistics VCR in FULL, paying particular attention in capturing any damage, the cusomer 's name and signature, the name and signature of the person receiving the vehicle, and the odometer readings both on collection and delivery. Special Instructions Lloyd Volvo Carlisle Chandler Way Parkhouse CARLISLE CA3 0JY BCA Fleet Solutions Ltd BCA Fleet Solutions Geddington B site, Geddington Corby NN18 8EZ Day Day VOLVO XC40 ESTATE 2.0 B4P Inscri",27/05/2025,11044348/1,Lloyd Volvo Carlisle,Chandler Way,Parkhouse,CARLISLE,CA3 0JY,,,30/05/2025,BCA Fleet Solutions Ltd,BCA Fleet Solutions,"Geddington B site, Geddington",Corby,NN18 8EZ,,0121,Must call 1hour before collection and get a name,181.20,BC04,
