REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
,,,,,211397,,,,,,,,,,,,,,,,,,EU01,
FG72HYJ,,FO,TRANIST 350 L3,,211397,Europcar SUNDERLAND,,,,,,,,+44 130449000,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,WA11 9SZ,,UNITED KINGDOM,,,EU01,
WP23UUN,,FO,TRANSIT CUSTOM LEADER,,211397,Europcar GATESHEAD,,,,,,,,+44 130449000,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,WA11 9SZ,,UNITED KINGDOM,,,EU01,
WN72XJZ,,FO,TRANSIT CUSTOM LEADER,,211397,Europcar STEVENAGE,,,,,,,,+44 130449000,Coomberland Park,Thurleigh RoadXQDZ01,,MK44 1ZY,,UNITED KINGDOM,,,EU01,
BF23YFE,,IV,35S14 3520L H2,,211397,Europcar LUTON AIRPORT SALE HUB,,,,,,,,+44 130449000,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,GU17 9LG,,UNITED KINGDOM,,,EU01,
FP73NFL,,FO,TRANSIT CUSTOM LIMITED,,211397,Europcar READING,,,,,,,,+44 130449000,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,GU17 9LG,,UNITED KINGDOM,,,EU01,
WN24GKY,,FO,TRANSIT LEADER 350,,211397,Europcar LONDON CROYDON SALE HUB,,,,,,,,+44 130449000,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,BN15 8TU,,UNITED KINGDOM,,,EU01,
WN24GYV,,FO,TRANSIT LEADER 350,,211397,Europcar OXFORD,,,,,,,,+44 130449000,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,GU17 9LG,,UNITED KINGDOM,,,EU01,
WN24GWX,,FO,TRANSIT LEADER 350,,211397,Europcar LONDON PARK ROYAL SALE HUB,,,,,,,,+44 130449000,Coomberland Park,Thurleigh RoadXQDZ01,,MK44 1ZY,,UNITED KINGDOM,,,EU01,
FM21GZV,,TO,PROACE VERSO MY20,,211397,Europcar TRURO CORNWALL,,,,,,,,+44 130449000,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,GU17 9LG,,UNITED KINGDOM,,,EU01,
NX73VOY,,MU,DELIVER9 2.0 BASE,,211397,Europcar CARLISLE,,,,,,,,+44 130449000,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,WA11 9SZ,,UNITED KINGDOM,,,EU01,
KM24UOL,,MB,SPRINTER 315 PROGRESSIVE,,211397,Europcar WOLVERHAMPTON,,,,,,,,+44 130449000,College Road (Behind Esso),Perry BarrBHXZ94,,B44 8DU,,UNITED KINGDOM,,,EU01,
WN73AOR,,FO,TRANSIT CUSTOM LEADER,,211397,Europcar LONDON CROYDON SALE HUB,,,,,,,,+44 130449000,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,BN15 8TU,,UNITED KINGDOM,,,EU01,
KN21PYX,,CT,BERLINGO PANEL VAN,,211397,Europcar LEEDS SALE HUB,,,,,,,,+44 130449000,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,WA11 9SZ,,UNITED KINGDOM,,,EU01,
GD21PFG,,VW,CR35 PANEL VAN,,211397,Europcar BIRMINGHAM NEWTOWN,,,,,,,,+44 130449000,College Road (Behind Esso),Perry BarrBHXZ94,,B44 8DU,,UNITED KINGDOM,,,EU01,
WN72XJT,,FO,TRANSIT CUSTOM LEADER,,211397,Europcar LONDON CROYDON SALE HUB,,,,,,,,+44 130449000,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,BN15 8TU,,UNITED KINGDOM,,,EU01,
