REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
,,,,,476725,Europcar NumberTrip Price VAT rate,,,,,,,,,,,,,,,,,EU01,
FG72HYJ,,FO,TRANIST 350 L3,,476725,Europcar SUNDERLAND,PALLION WAY,,,,,SR4 6SN,,,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,UNITED KINGDOM,,,EU01,
WP23UUN,,FO,TRANSIT CUSTOM LEADER,,476723,Europcar GATESHEAD,OAKWELLGATE,,,,,NE8 2AU,,,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,UNITED KINGDOM,,,EU01,
WN72XJZ,,FO,TRANSIT CUSTOM LEADER,,476721,Europcar STEVENAGE,39 CROMPTON ROAD,,,,,SG1 2EE,,,Coomberland Park,Thurleigh RoadXQDZ01,,THURLEIGH,,UNITED KINGDOM,,,EU01,
BF23YFE,,IV,35S14 3520L H2,,476716,Europcar LUTON AIRPORT SALE HUB,CAR HIRE CENTRE. BUILDING 250,LUTON AIRPORT PRESIDENT WAY,,,,LU2 9LY,,,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,UNITED KINGDOM,,,EU01,
FP73NFL,,FO,TRANSIT CUSTOM LIMITED,,476715,Europcar READING,6-8 COMMERCIAL ROAD,,,,,RG2 0QZ,,,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,UNITED KINGDOM,,,EU01,
WN24GKY,,FO,TRANSIT LEADER 350,,476726,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,,,,,CR0 4RR,,,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,UNITED KINGDOM,,,EU01,
WN24GYV,,FO,TRANSIT LEADER 350,,476714,Europcar OXFORD,LITTLEMEAD BUSINESS  PARK,FERRY HINKSEY ROAD,,,,OX2 0BY,,,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,UNITED KINGDOM,,,EU01,
WN24GWX,,FO,TRANSIT LEADER 350,,476720,Europcar LONDON PARK ROYAL SALE HUB,PARK ROYAL,,,,,NW10 8LD,,,Coomberland Park,Thurleigh RoadXQDZ01,,THURLEIGH,,UNITED KINGDOM,,,EU01,
FM21GZV,,TO,PROACE VERSO MY20,,476717,Europcar TRURO CORNWALL,UNIT 2B EDHEN PARK,HARVEY ROAD,,,,TR12XW,,,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,UNITED KINGDOM,,,EU01,
NX73VOY,,MU,DELIVER9 2.0 BASE,,476722,Europcar CARLISLE,CORNER OF JUNCTION ST,NEXT TO DIXON CHIMNEY,,,,CA2 5UG,,,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,UNITED KINGDOM,,,EU01,
KM24UOL,,MB,SPRINTER 315 PROGRESSIVE,,476719,Europcar WOLVERHAMPTON,133 WILLENHALL ROAD,,,,,WV1 2HR,,,College Road (Behind Esso),Perry BarrBHXZ94,,Birmingham,,UNITED KINGDOM,,,EU01,
WN73AOR,,FO,TRANSIT CUSTOM LEADER,,476728,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,,,,,CR0 4RR,,,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,UNITED KINGDOM,,,EU01,
KN21PYX,,CT,BERLINGO PANEL VAN,,476724,Europcar LEEDS SALE HUB,7-13 LOW ROAD,HUNSLET,,,,LS10 1QR,,,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,UNITED KINGDOM,,,EU01,
GD21PFG,,VW,CR35 PANEL VAN,,476718,Europcar BIRMINGHAM NEWTOWN,1 MILLER STREET,ENTRANCE OFF BRACEBRIDGE,,STREET,,B6 4NF,,,College Road (Behind Esso),Perry BarrBHXZ94,,Birmingham,,UNITED KINGDOM,,,EU01,
WN72XJT,,FO,TRANSIT CUSTOM LEADER,,476727,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,,,,,CR0 4RR,,,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,UNITED KINGDOM,,,EU01,
