REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
,,,,,2113971,Europcar NumberTrip Price VAT rate,,,,,,,,,,,,,,,,,EU01,
FG72HYJ,,FO,TRANIST 350 L3,,,Europcar SUNDERLAND,PALLION WAY,,,,,SR4 6SN,,+44 1 30 44 90 00,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,44 0870 2520406,,,EU01,
WP23UUN,,FO,TRANSIT CUSTOM LEADER,,,Europcar GATESHEAD,OAKWELLGATE,,,,,NE8 2AU,,+44 1 30 44 90 00,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,44 0870 2520406,,,EU01,
WN72XJZ,,FO,TRANSIT CUSTOM LEADER,,,Europcar STEVENAGE,39 CROMPTON ROAD,,,,,SG1 2EE,,+44 1 30 44 90 00,Coomberland Park,Thurleigh RoadXQDZ01,,THURLEIGH,,44 0 0,,,EU01,
BF23YFE,,IV,35S14 3520L H2,,,Europcar LUTON AIRPORT SALE HUB,CAR HIRE CENTRE. BUILDING 250,LUTON AIRPORT PRESIDENT WAY,,,,LU2 9LY,,+44 1 30 44 90 00,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,44 01252 878555,,,EU01,
FP73NFL,,FO,TRANSIT CUSTOM LIMITED,,,Europcar READING,6-8 COMMERCIAL ROAD,,,,,RG2 0QZ,,+44 1 30 44 90 00,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,44 01252 878555,,,EU01,
WN24GKY,,FO,TRANSIT LEADER 350,,,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,,,,,CR0 4RR,,+44 1 30 44 90 00,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,44 01903 851200,,,EU01,
WN24GYV,,FO,TRANSIT LEADER 350,,,Europcar OXFORD,LITTLEMEAD BUSINESS  PARK,FERRY HINKSEY ROAD,,,,OX2 0BY,,+44 1 30 44 90 00,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,44 01252 878555,,,EU01,
WN24GWX,,FO,TRANSIT LEADER 350,,,Europcar LONDON PARK ROYAL SALE HUB,PARK ROYAL,,,,,NW10 8LD,,+44 1 30 44 90 00,Coomberland Park,Thurleigh RoadXQDZ01,,THURLEIGH,,44 0 0,,,EU01,
FM21GZV,,TO,PROACE VERSO MY20,,,Europcar TRURO CORNWALL,UNIT 2B EDHEN PARK,HARVEY ROAD,,,,TR12XW,,+44 1 30 44 90 00,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,44 01252 878555,,,EU01,
NX73VOY,,MU,DELIVER9 2.0 BASE,,,Europcar CARLISLE,CORNER OF JUNCTION ST,NEXT TO DIXON CHIMNEY,,,,CA2 5UG,,+44 1 30 44 90 00,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,44 0870 2520406,,,EU01,
KM24UOL,,MB,SPRINTER 315 PROGRESSIVE,,,Europcar WOLVERHAMPTON,133 WILLENHALL ROAD,,,,,WV1 2HR,,+44 1 30 44 90 00,College Road (Behind Esso),Perry BarrBHXZ94,,Birmingham,,44 0121 5169300,,,EU01,
WN73AOR,,FO,TRANSIT CUSTOM LEADER,,,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,,,,,CR0 4RR,,+44 1 30 44 90 00,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,44 01903 851200,,,EU01,
KN21PYX,,CT,BERLINGO PANEL VAN,,,Europcar LEEDS SALE HUB,7-13 LOW ROAD,HUNSLET,,,,LS10 1QR,,+44 1 30 44 90 00,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,44 0870 2520406,,,EU01,
GD21PFG,,VW,CR35 PANEL VAN,,,Europcar BIRMINGHAM NEWTOWN,1 MILLER STREET,ENTRANCE OFF BRACEBRIDGE,,STREET,,B6 4NF,,+44 1 30 44 90 00,College Road (Behind Esso),Perry BarrBHXZ94,,Birmingham,,44 0121 5169300,,,EU01,
WN72XJT,,FO,TRANSIT CUSTOM LEADER,,,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,,,,,CR0 4RR,,+44 1 30 44 90 00,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,44 01903 851200,,,EU01,
