REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
BC74EFR,SJNTAAJ12U2097391,NISSAN,QQ DIGT 140 MT,16/5/2025,25050488,Manheim Vehicle Services,Bruntingthorpe Proving Ground,nan,Bruntingthorpe,Le17 5QS,,,,15 Shilton Close,Shirley,nan,Solihull,B90 4TW,,,Driver must obtain customer signature and call 1 hour ahead of delivery with an ETA.,54.0,CW09,
BC74EHN,SJNTAAJ12U2097428,NISSAN,QQ DIGT 140 MT,16/5/2025,25050488,Manheim Vehicle Services,Bruntingthorpe Proving Ground,nan,Bruntingthorpe,Le17 5QS,,,,1 Orchards Gardens,nan,nan,Epsom,KT18 7NJ,,,Driver must obtain customer signature and call 1 hour ahead of delivery with an ETA.,104.4,CW09,
BC74DYU,SJNTAAJ12U2096650,NISSAN,QQ DIGT 140 MT,16/5/2025,25050488,Manheim Vehicle Services,Bruntingthorpe Proving Ground,nan,Bruntingthorpe,Le17 5QS,,,,3 Brick Kiln Drive,Hooton,nan,Ellesmere Port,CH66 7PD,,,Driver must obtain customer signature and call 1 hour ahead of delivery with an ETA.,122.4,CW09,
BC74EHF,SJNTAAJ12U2089683,NISSAN,QQ DIGT 140 MT,16/5/2025,25050488,Manheim Vehicle Services,Bruntingthorpe Proving Ground,nan,Bruntingthorpe,Le17 5QS,,,,22 South Drive,nan,nan,Brentwood,CM14 5DJ,,,Driver must obtain customer signature and call 1 hour ahead of delivery with an ETA. MUST USE MODEL - 773710,124.4,CW09,
BD25FOM,SJNTAAJ12U2159164,NISSAN,QASHQAI 1.3 DIG-T,16/5/2025,25050488,Manheim Vehicle Services,Bruntingthorpe Proving Ground,nan,Bruntingthorpe,Le17 5QS,,,,37 Grange Park Road,Chapel-En-Le-Frith,nan,High Peak,SK23 0LQ,,,Driver must obtain customer signature and call 1 hour ahead of delivery with an ETA.,77.4,CW09,
