REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
DS25WTC,WF0EXXTTRESM60724,,TRANSIT VAN,30/05/2025,DS25WTC,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,30/05/2025,30/05/2025,,,,,,,VIN: WF0EXXTTRESM60724,,GR11,
DS25WUD,WF0EXXTTRESM60730,,TRANSIT VAN,30/05/2025,DS25WUD,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,30/05/2025,30/05/2025,,,,,,,VIN: WF0EXXTTRESM60730,,GR11,
DS25YVA,WF0EXXTTRESM60721,,TRANSIT VAN,30/05/2025,DS25YVA,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,30/05/2025,30/05/2025,,,,,,,VIN: WF0EXXTTRESM60721,,GR11,
DL25FZW,WF0EXXTTRESM60707,,TRANSIT VAN,02/06/2025,DL25FZW,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,02/06/2025,02/06/2025,,,,,,,VIN: WF0EXXTTRESM60707,,GR11,
DL25FHB,WF0EXXTTRESM60671,,TRANSIT VAN,02/06/2025,DL25FHB,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,02/06/2025,02/06/2025,,,,,,,VIN: WF0EXXTTRESM60671,,GR11,
DS25YOK,WF0EXXTTRESM60726,,TRANSIT VAN,02/06/2025,DS25YOK,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,02/06/2025,02/06/2025,,,,,,,VIN: WF0EXXTTRESM60726,,GR11,
DS25WSZ,WF0EXXTTRESM60723,,TRANSIT VAN,02/06/2025,DS25WSZ,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,02/06/2025,02/06/2025,,,,,,,VIN: WF0EXXTTRESM60723,,GR11,
DS25WTG,WF0EXXTTRESM60705,,TRANSIT VAN,02/06/2025,DS25WTG,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,02/06/2025,02/06/2025,,,,,,,VIN: WF0EXXTTRESM60705,,GR11,
DL25FGX,WF0EXXTTRESM60740,,TRANSIT VAN,02/06/2025,DL25FGX,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,02/06/2025,02/06/2025,,,,,,,VIN: WF0EXXTTRESM60740,,GR11,
DL25FLK,WF0EXXTTRESM60696,,TRANSIT VAN,03/06/2025,DL25FLK,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,03/06/2025,03/06/2025,,,,,,,VIN: WF0EXXTTRESM60696,,GR11,
